ISIN,mean_ref,mean_sus
ES0130960018,0.5130347802183771,0.21628667009563665
SE0000106270,0.21491126026890536,0.21742223760614007
ES0140609019,0.3073870190046637,0.20977206336713317
DK0060079531,0.2987919551286493,0.28653563268920096
DK0060227585,0.3841667868833552,0.2822653740772781
ES0130670112,0.37507020403621044,0.35325822655291067
SE0015811963,0.2357733906066566,0.5811144782044578
CH0012221716,0.5191114144361354,0.21932548099775542
DE000A0HN5C6,0.4486583942300264,0.3887158504952748
ES0109067019,0.5568626931449709,0.26397891215712943
DE000A1J5RX9,0.267942483307995,0.34106439245954623
CH0012005267,0.258677029115289,0.2445259768209249
CH0009002962,0.2504018003738527,0.3659276919228844
CH0012549785,0.2661535777473361,0.21673647629624118
DK0060542181,0.22004110301780555,0.26645981825696313
DE000ZAL1111,0.3619470144758368,0.31393152369120486
ES0173093024,0.2636411657286896,0.5690630779489202
NL0012169213,0.4644894181708647,0.36259527194537755
IE00BK9ZQ967,0.3246127580487461,0.21857431106838932
FR0000125486,0.2752941917813125,0.3200228266689711
BE0003797140,0.5128349708000212,0.5241039661568068
FR0010040865,0.37193652103731484,0.3480987167007612
PTJMT0AE0001,0.243369075103136,0.22502427155573743
FR0010307819,0.44859882904956333,0.367956415892882
FR0000121220,0.2596790358406245,1.0
GB00B5ZN1N88,0.21739017701080035,0.2884287220578688
IE00B1RR8406,0.293390859768931,0.26897538386222597
FR0000051807,0.3178895898350732,0.3448262509247007
FR0013326246,0.395436670230539,0.7546688057093355
