TRBC Industry Group Name,totalEsg,environmentScore,socialScore,governanceScore
Communications & Networking,12.07,0.03,5.59,6.45
Leisure Products,13.675,0.5950000000000001,6.515000000000001,6.5649999999999995
Transport Infrastructure,13.808000000000002,1.848,6.529999999999999,5.43
Homebuilding & Construction Supplies,15.255,6.74,2.8150000000000004,5.7
Residential & Commercial REITs,15.488888888888889,2.548888888888889,6.45888888888889,6.464444444444444
Investment Holding Companies,15.526666666666666,2.705,5.591666666666666,7.226666666666667
Paper & Forest Products,16.178571428571427,5.122857142857143,4.58,6.478571428571429
Semiconductors & Semiconductor Equipment,16.786666666666665,4.336666666666667,5.34,6.923333333333333
Telecommunications Services,17.841,4.016,8.266,5.559
Insurance,17.872857142857143,0.9485714285714285,8.143571428571429,8.779285714285715
Specialty Retailers,18.055,2.614,7.993,7.45
Food & Drug Retailing,18.427,5.148,7.295,5.986
Financial Technology (Fintech) & Infrastructure,18.62,1.33,5.39,11.9
Automobiles & Auto Parts,18.631666666666668,4.378333333333333,6.580000000000001,6.080000000000001
Containers & Packaging,18.634999999999998,4.4399999999999995,6.665,7.535
Natural Gas Utilities,18.87,7.82,5.62,5.42
Textiles & Apparel,19.203333333333333,4.353333333333333,7.851666666666667,6.653333333333333
Beverages,19.313333333333333,5.72,7.323333333333333,6.2683333333333335
Oil & Gas Related Equipment and Services,19.468,4.806,8.553999999999998,6.108
Freight & Logistics Services,19.685,5.755,7.97,5.92
Professional & Commercial Services,20.027142857142856,2.684285714285714,8.325,8.464285714285714
Construction Materials,20.23,11.94,2.95,5.34
Renewable Energy,20.3,6.03,9.025,5.25
Personal & Household Products & Services,21.16,5.67,9.05,6.44
Healthcare Equipment & Supplies,21.28,3.9000000000000004,9.283333333333333,8.098333333333334
Software & IT Services,21.3285,4.0155,9.258,6.193
Real Estate Operations,21.35,5.0075,9.13375,6.61125
Hotels & Entertainment Services,22.09,3.532222222222222,6.964444444444444,5.23
Food & Tobacco,22.364285714285717,8.212142857142856,8.115,5.72
Household Goods,22.494,3.5380000000000003,7.888,5.748
"Machinery, Tools, Heavy Vehicles, Trains & Ships",22.927037037037035,6.000740740740741,9.688148148148148,6.762222222222222
Banking Services,22.955,2.3183333333333334,8.001944444444444,8.483333333333333
Pharmaceuticals,22.966923076923077,2.2169230769230768,12.236923076923075,8.514615384615384
Media & Publishing,23.321111111111108,5.278888888888889,9.481111111111112,6.304444444444445
Biotechnology & Medical Research,23.442500000000003,5.470000000000001,10.615,7.36
Passenger Transportation Services,23.64,5.845,12.315000000000001,5.484999999999999
Chemicals,24.077222222222222,9.213333333333333,5.047777777777778,6.04111111111111
Construction & Engineering,24.74153846153846,5.708461538461538,10.575384615384614,8.40846153846154
Office Equipment,26.13,9.52,11.46,5.15
Electric Utilities & IPPs,26.302666666666667,10.020666666666667,9.238666666666665,7.043333333333334
"Computers, Phones & Household Electronics",26.74,3.7,15.56,7.48
Multiline Utilities,27.43,11.3,10.89,5.24
Metals & Mining,28.24888888888889,11.052222222222222,9.607777777777777,7.587777777777777
Healthcare Providers & Services,28.68,1.595,10.015,3.795
Investment Banking & Investment Services,29.064285714285713,7.091428571428572,9.817142857142857,7.611428571428571
Consumer Goods Conglomerates,33.61,12.33,13.56,7.72
Electronic Equipment & Parts,40.71,14.09,15.04,11.58
